date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-300.77101746010163,68.34458,-153.12477707151996
2024-01-31,-43.03173618213374,68.88208,1.7337899405000279
2024-02-29,-213.85782998275732,67.05247,-101.49371028823836
2024-03-31,-198.9117772250084,65.84975,-93.00716727189467
2024-04-30,-249.14118695256332,65.51192,-123.27994494436513
2024-05-31,-179.94265191530542,65.15346,-81.90420694813345
2024-06-30,-285.3821097220984,64.95082,-145.24893631970923
2024-07-31,-291.0109976490027,64.84894,-148.6670233940891
2024-08-31,-243.42133125654465,64.77778,-120.14168692226175
2024-09-30,-244.5516181375985,64.737175,-120.83610012450245
2024-10-31,-314.03334424125785,64.7138,-162.53448751704474
2024-11-30,-165.13245125499975,64.699234,-73.1997767680145
2024-12-31,-542.2151330411489,64.69077,-299.45276947617856
2025-01-31,-464.17799470578206,64.68577,-252.63248919102296
2025-02-28,-553.7676136146018,64.68276,-306.3874621659535
2025-03-31,-538.848079167579,64.680984,-297.43645293877984
2025-04-30,-578.9937069203199,64.679924,-321.5242549291695
2025-05-31,-421.70609225395555,64.6793,-227.15193599202175
2025-06-30,-624.3326366993508,64.678925,-348.72801143245226
2025-07-31,-644.9320782583179,64.6787,-361.0877660132183
2025-08-31,-535.204906758671,64.67857,-295.2515146118432
2025-09-30,-533.1669019517835,64.6785,-294.02874224528887
2025-10-31,-713.5783717433021,64.678444,-402.27564510103497
2025-11-30,-408.57536847052995,64.67842,-219.27385267411483
