date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,140.89074135888217,91.48185,121.1271839205539
2024-01-31,-277.0506272518314,85.59688,-131.99162589333514
2024-02-29,-63.24415029104511,81.08084,-5.514151460027456
2024-03-31,-176.89246390809535,78.60755,-74.69245657056521
2024-04-30,-104.52421768182884,77.49964,-31.714673660244763
2024-05-31,-274.62633978784356,76.91693,-134.00903064882917
2024-06-30,-215.36510947645988,76.62782,-98.56793691695503
2024-07-31,-243.4988023087399,76.48331,-115.50595863133768
2024-08-31,-146.38299204092456,76.41065,-57.26553474176664
2024-09-30,-218.0380435584548,76.37428,-100.27311300030726
2024-10-31,-145.43909671708747,76.35604,-56.72104050400736
2024-11-30,-170.9233329594215,76.3469,-72.01523863673687
2024-12-31,-259.54748718409303,76.34232,-125.19156222622729
2025-01-31,-454.7342092020836,76.34002,-242.30451668641126
2025-02-28,-284.53764873754426,76.33887,-140.1870419860568
2025-03-31,-480.24381243856226,76.33829,-257.61097290320083
2025-04-30,-301.16515915991397,76.338,-150.16389537692982
2025-05-31,-606.1132849789417,76.33785,-333.13282999615404
2025-06-30,-466.01688734427523,76.33778,-249.07501811823505
2025-07-31,-514.9215650129055,76.337746,-278.41783997820227
2025-08-31,-333.0668892841078,76.33773,-169.30504026296956
2025-09-30,-514.2297693825549,76.33772,-278.0027721367351
2025-10-31,-409.16286782815484,76.33772,-214.96263120409503
2025-11-30,-470.15174625997776,76.337715,-251.55596207788608
