date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-64.74351407612455,15.426655,-32.6754465194052
2024-01-31,-6.961127126583552,15.94018,2.19939565398151
2024-02-29,-75.69848980051222,16.397474,-38.86010387862886
2024-03-31,-54.356336438002586,16.734926,-25.919831182564735
2024-04-30,-61.902183448613656,16.842958,-30.404126498306375
2024-05-31,-69.29557166628686,16.905642,-34.81508637745766
2024-06-30,-55.859331522473774,16.937922,-26.740430017762826
2024-07-31,-48.98879643807508,16.952267,-22.612371185598953
2024-08-31,-47.63515160778558,16.959639,-21.797235526438925
2024-09-30,-61.24171717939608,16.963245,-29.959731960164504
2024-10-31,-78.93655529727502,16.964977,-40.575941986501
2024-11-30,-65.74540283270275,16.965834,-32.660908138678046
2024-12-31,-145.5322174202293,16.966251,-80.5328299981886
2025-01-31,-118.49890154050489,16.966455,-64.31275845436275
2025-02-28,-164.44397953830443,16.966555,-91.87976567555835
2025-03-31,-124.65665308248667,16.966604,-68.0073502517442
2025-04-30,-140.94958249437357,16.966627,-77.78309836213317
2025-05-31,-153.53535855531956,16.96664,-85.33455875349203
2025-06-30,-130.57623549611466,16.966646,-71.5590825337833
2025-07-31,-125.88704270026952,16.966648,-68.74556637943905
2025-08-31,-118.29189743798557,16.96665,-64.18847826839436
2025-09-30,-135.76692659727595,16.96665,-74.6734957639686
2025-10-31,-168.93532749059878,16.96665,-94.57453629996229
2025-11-30,-142.29001185395794,16.96665,-78.58734691797778
