date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,145.0738354215871,84.829094,120.97593806325499
2024-01-31,468.88625024613054,88.858055,316.8749744823951
2024-02-29,316.85448130511566,97.88754,229.2677066358526
2024-03-31,252.6667880158903,105.65118,193.8605441535283
2024-04-30,360.4733299094333,115.28467,262.39786665903887
2024-05-31,301.0225065340793,128.60883,232.05703495682454
2024-06-30,317.00022101613393,144.99243,248.19710755474873
2024-07-31,358.02088241416953,168.03723,282.02742660426344
2024-08-31,322.73240961003467,202.4905,274.63564632754424
2024-09-30,274.17370384404813,257.09845,267.3436006633625
2024-10-31,367.3696989383774,354.07632,362.0523583034561
2024-11-30,401.9289338724016,546.08405,459.5909845910191
2024-12-31,541.8669256071541,962.4864,710.1147232353862
2025-01-31,655.0650134282633,1888.7194,1148.5267399905517
2025-02-28,598.6189173594216,3897.5186,1918.1787967047155
2025-03-31,459.85986846553044,8256.021,3578.324612485568
2025-04-30,691.7277743262122,17379.283,7366.750043501977
2025-05-31,566.7143615122156,36142.55,14797.04912471983
2025-06-30,589.4532450498909,75257.63,30456.724681404936
2025-07-31,673.7870594687539,156935.12,63178.32301693125
2025-08-31,603.973032847903,327023.1,131171.62600720875
2025-09-30,474.73929944341245,681601.2,272925.31232966605
2025-10-31,668.328630156543,1.4207222e+06,568689.9346780939
2025-11-30,723.4491059453387,2.9611555e+06,1184896.319463567
