date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-220.8829158023922,21.663118,-123.86450156426002
2024-01-31,-99.46820305825855,21.711462,-50.99633721734038
2024-02-29,-162.16297836982497,21.951824,-88.51705677439742
2024-03-31,-145.14399650039843,22.122383,-78.23744465316874
2024-04-30,-162.4927041980302,22.174881,-88.62567031697485
2024-05-31,-166.82128066463272,22.223557,-91.20334598209261
2024-06-30,-158.99704705585847,22.254251,-86.49652726000434
2024-07-31,-159.6027935121732,22.269232,-86.8539831980632
2024-08-31,-168.46012497929527,22.279743,-92.1641773282754
2024-09-30,-159.82098402064196,22.286093,-86.97815311837883
2024-10-31,-158.72163876921906,22.289688,-86.31710782665594
2024-11-30,-162.44234340473642,22.291985,-88.54861221959966
2024-12-31,-366.63648041498317,22.293367,-211.0645412946442
2025-01-31,-314.94107668984515,22.294186,-180.04697194927084
2025-02-28,-356.7873907027186,22.294693,-205.15455722436553
2025-03-31,-316.9983991813866,22.294998,-181.28104024125383
2025-04-30,-352.22875862877237,22.295181,-202.41918247676293
2025-05-31,-360.54601032349797,22.295294,-207.4094886709054
2025-06-30,-337.8580182436433,22.295362,-193.79666576643743
2025-07-31,-340.381655061766,22.295403,-195.3108316448477
2025-08-31,-363.9485398790843,22.295427,-209.4509529984955
2025-09-30,-343.42487816822415,22.295443,-197.13674929625918
2025-10-31,-336.4416653474513,22.295452,-192.94681778909822
2025-11-30,-345.18179646926524,22.295456,-198.19089550851226
