date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-175.30385099928412,13.602296,-99.74139215398331
2024-01-31,-210.33739645001245,13.091254,-120.96593617628187
2024-02-29,-93.46614708915226,13.6356945,-50.62541026124282
2024-03-31,-45.94013672634743,14.119704,-21.916200051097764
2024-04-30,-142.09162417151902,14.173304,-79.58565296589359
2024-05-31,-109.53767490498994,14.252843,-60.02146787710652
2024-06-30,-148.61734712767483,14.296696,-83.45172980217863
2024-07-31,-168.30993762847888,14.310683,-95.26168937228385
2024-08-31,-120.72440362607735,14.320768,-66.70633492848454
2024-09-30,-99.67645698508848,14.325741,-54.0755775792672
2024-10-31,-83.50537671736281,14.327939,-44.372050130912065
2024-11-30,-172.0496165326862,14.329211,-97.4980852348583
2024-12-31,-271.7070476874062,14.329836,-157.2922940650194
2025-01-31,-292.0715169059588,14.330141,-169.51085352583846
2025-02-28,-230.07016662690617,14.330305,-132.3099780317162
2025-03-31,-147.01525569105007,14.330384,-82.47699952211295
2025-04-30,-301.6769991187265,14.330427,-175.2740284125811
2025-05-31,-234.51681763112057,14.330446,-134.97791189062303
2025-06-30,-310.89803493375075,14.330457,-180.8066379806667
2025-07-31,-347.1507771598315,14.330464,-202.5582804552922
2025-08-31,-260.34708801440814,14.330467,-150.47606601436388
2025-09-30,-222.65815936314357,14.330469,-127.8627078699308
2025-10-31,-172.86153174832958,14.330469,-97.98473130104243
2025-11-30,-351.2854556496399,14.330471,-205.0390846881543
