date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-128.44785824655725,12.981666,-71.87604841732521
2024-01-31,-127.34091625261875,12.9377365,-71.22945514707907
2024-02-29,-148.10962754300547,12.929884,-83.69382284767218
2024-03-31,-120.54218123129272,12.888373,-67.16995948416748
2024-04-30,-134.39332726056543,12.885761,-75.48169185194472
2024-05-31,-126.9091067446156,12.884525,-70.99165402250789
2024-06-30,-139.12967391917144,12.883652,-78.32434337204118
2024-07-31,-119.62608102985712,12.883539,-66.62223293798263
2024-08-31,-147.51955611841146,12.883492,-83.3583365877644
2024-09-30,-134.28585184552063,12.883471,-75.41812260709875
2024-10-31,-136.25157105268238,12.883467,-76.59755603874443
2024-11-30,-120.2033984110974,12.883467,-66.96865245379344
2024-12-31,-281.78245530302354,12.883465,-163.9160870657863
2025-01-31,-269.0811967441516,12.883465,-156.29533193046313
2025-02-28,-306.407616499002,12.883465,-178.69118378337336
2025-03-31,-253.6206470595233,12.883465,-147.01900211968615
2025-04-30,-285.6753158102291,12.883465,-166.25180337010963
2025-05-31,-272.0288199548638,12.883465,-158.06390585689044
2025-06-30,-289.8968967190768,12.883465,-168.78475191541824
2025-07-31,-248.7599302016253,12.883465,-144.10257200494735
2025-08-31,-308.2945097351966,12.883465,-179.8233197250901
2025-09-30,-282.4165094725571,12.883465,-164.2965195675064
2025-10-31,-285.2662374437963,12.883465,-166.00635635024994
2025-11-30,-255.37538396112342,12.883465,-148.0718442606462
