date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-121.55248831171465,23.604038,-63.4898778823535
2024-01-31,-100.88663241869983,24.363007,-50.78677643303142
2024-02-29,-168.25102312020294,24.813562,-91.02518834264178
2024-03-31,-210.00998199948708,25.502806,-115.80486691575669
2024-04-30,-166.4973115452681,25.891703,-89.5417060571047
2024-05-31,-202.79778079842777,26.201859,-111.19792507085353
2024-06-30,-147.74557193441672,26.450132,-78.06728983118225
2024-07-31,-174.52381318261087,26.629337,-94.06255260378039
2024-08-31,-206.51054411244806,26.767427,-113.19935529895076
2024-09-30,-157.501940268991,26.872335,-83.75222941560602
2024-10-31,-207.21811838961753,26.950031,-113.55085794935889
2024-11-30,-206.58027987396855,27.008783,-113.14465439746462
2024-12-31,-372.2911009479371,27.05298,-212.5534678273682
2025-01-31,-359.75464236781295,27.086174,-205.0183156254607
2025-02-28,-367.22801369541406,27.111176,-209.49233819313955
2025-03-31,-451.2200590834062,27.129976,-259.88004475027566
2025-04-30,-366.77265145788664,27.14412,-209.20594297891898
2025-05-31,-433.1236172115215,27.154762,-249.01226522895143
2025-06-30,-325.2395901345636,27.16277,-184.27864654442226
2025-07-31,-379.66644537718656,27.168795,-216.93234880132414
2025-08-31,-440.9049388576401,27.173328,-253.67363195472075
2025-09-30,-335.140036088267,27.176743,-190.2133246314758
2025-10-31,-437.9795361804462,27.179308,-251.9159985332189
2025-11-30,-433.6761109220868,27.181244,-249.3331689946583
