date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,93.48495199887172,21.794792,64.80888864164481
2024-01-31,-366.0288782926353,18.8733,-212.0680067546339
2024-02-29,-229.4455617592492,17.52011,-130.65929328952777
2024-03-31,-251.8003522138606,21.817377,-142.35326068286957
2024-04-30,-242.84667897341853,22.617252,-136.66110663484457
2024-05-31,-293.1243219292408,22.721355,-166.78605117298636
2024-06-30,-234.31104094565518,21.936491,-131.81202835309867
2024-07-31,-260.26498464269514,21.739288,-147.46327488138124
2024-08-31,-225.5512551417109,21.79322,-126.6134650677536
2024-09-30,-290.6420877744655,21.95969,-165.6013762456119
2024-10-31,-256.44936899055875,22.00107,-145.0691930038323
2024-11-30,-242.09166365062754,21.976814,-136.4642724823687
2024-12-31,-363.44461948585433,21.940708,-209.29048842735244
2025-01-31,-548.1554647933038,21.933325,-320.11994914118003
2025-02-28,-498.8008481807805,21.940983,-290.50411597176173
2025-03-31,-529.595817709362,21.948805,-308.97796868347854
2025-04-30,-505.04391279551385,21.94987,-294.2463994427502
2025-05-31,-604.1957636106279,21.94774,-353.73836156298313
2025-06-30,-484.6496781817097,21.946066,-282.0113807386767
2025-07-31,-539.2029822874091,21.945984,-314.74339562702306
2025-08-31,-466.64678180918264,21.946537,-271.2094540876458
2025-09-30,-600.8227153923199,21.94689,-351.7148730937293
2025-10-31,-535.6482962259761,21.946869,-312.6102301769919
2025-11-30,-537.3031983368764,21.946728,-313.6032277103168
