date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-162.13302723292304,16.573727,-90.65032548739786
2024-01-31,-122.44628497964554,16.59317,-66.83050292138107
2024-02-29,-110.54979219820389,16.7045,-59.648074953474335
2024-03-31,-169.07240762581202,16.49078,-94.84713252943618
2024-04-30,-133.61098569549515,16.489864,-73.57064558218356
2024-05-31,-156.58753595337322,16.492674,-87.35545183172852
2024-06-30,-121.27364690665962,16.49947,-66.16439995506144
2024-07-31,-162.14161854464083,16.49939,-90.68521536277693
2024-08-31,-117.09865820523922,16.499044,-63.65957696507468
2024-09-30,-154.3906965380957,16.498652,-86.03495732105078
2024-10-31,-105.07840131907157,16.498669,-56.447573037078925
2024-11-30,-157.7980014860576,16.4987,-88.07932121634158
2024-12-31,-307.3619821326441,16.498722,-177.81770054438746
2025-01-31,-265.6622699746589,16.49872,-152.79787372643352
2025-02-28,-235.00533454892005,16.498718,-134.40371342466452
2025-03-31,-354.5117388097152,16.498714,-206.1075574116531
2025-04-30,-280.5596678242309,16.498714,-161.73631482036254
2025-05-31,-327.374311943704,16.498714,-189.82510129204638
2025-06-30,-250.53237136102607,16.498714,-143.7199369424396
2025-07-31,-331.4950832129338,16.498714,-192.29756405358427
2025-08-31,-262.317689670327,16.498714,-150.7911279280202
2025-09-30,-330.5667521401124,16.498714,-191.7405654098914
2025-10-31,-233.13419527870133,16.498714,-133.28103129304478
2025-11-30,-328.9284856706631,16.498714,-190.75760552822183
