date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-667.8366718240175,32.751907,-387.60123977348763
2024-01-31,-69.61076963550923,29.625196,-29.916383198541865
2024-02-29,-238.12366530348447,27.716455,-131.7876169982528
2024-03-31,-311.96521522043315,27.12158,-176.3304972734342
2024-04-30,-333.070487013538,26.903343,-189.08095492784938
2024-05-31,-343.0256002482113,26.839981,-195.07936771728615
2024-06-30,-243.683545168438,26.819162,-135.48246215355303
2024-07-31,-304.8166960611781,26.813208,-172.16473401396516
2024-08-31,-340.8243143594347,26.811306,-193.77006602502362
2024-09-30,-249.53328687556893,26.81076,-138.9956679261226
2024-10-31,-316.5215254147289,26.810587,-179.18868066784367
2024-11-30,-219.64787560931342,26.810537,-121.06450985808073
2024-12-31,-742.7730748309643,26.810522,-434.9396360667915
2025-01-31,-520.289364269968,26.810516,-301.4494116375423
2025-02-28,-509.2149243343478,26.810516,-294.8047476761702
2025-03-31,-657.3689874512667,26.810516,-383.6971855463215
2025-04-30,-684.3697157217605,26.810514,-399.89762346229213
2025-05-31,-704.790259553442,26.810514,-412.149949761301
2025-06-30,-504.81092895456277,26.810514,-292.16235140197347
2025-07-31,-627.573314420459,26.810516,-365.8197817278369
2025-08-31,-701.2503620538996,26.810516,-410.0260103079013
2025-09-30,-519.102697183355,26.810514,-300.7374123392488
2025-10-31,-665.6638349100555,26.810514,-388.6740949752691
2025-11-30,-520.1073243801955,26.810514,-301.3401886573531
