date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-228.51735570663317,25.110806,-127.06609141012493
2024-01-31,-298.4402384357746,25.312452,-168.93916213495106
2024-02-29,-305.3118912827262,25.495996,-172.98873617954783
2024-03-31,-359.561181740335,25.727943,-205.4455312945672
2024-04-30,-302.5868988402872,25.822933,-171.22296621609857
2024-05-31,-316.0984370571448,25.891441,-179.3024853147312
2024-06-30,-319.0278572828576,25.938065,-181.04148834890157
2024-07-31,-341.2953895602556,25.965712,-194.39094890796733
2024-08-31,-328.1330481512471,25.983852,-186.4862875546887
2024-09-30,-343.13968627310726,25.995466,-195.48562508020956
2024-10-31,-287.29018026592473,26.002804,-161.97298606635414
2024-11-30,-375.8707046528498,26.00751,-215.1194190990829
2024-12-31,-644.5063403965481,26.010511,-376.29959986933756
2025-01-31,-668.5346576101066,26.012424,-390.71582439699654
2025-02-28,-643.4233531236944,26.013645,-375.6485534238992
2025-03-31,-752.5881035117136,26.014427,-441.147090851535
2025-04-30,-639.3182763988182,26.014923,-373.1849962195399
2025-05-31,-663.1882091466013,26.015242,-387.5068290295257
2025-06-30,-665.3055054838838,26.015444,-388.77712576957833
2025-07-31,-703.7327267530517,26.015572,-411.83340703266595
2025-08-31,-679.2847233829589,26.015656,-397.1645716320092
2025-09-30,-710.8717544824672,26.015707,-416.1167693108792
2025-10-31,-599.9199177006806,26.015741,-349.54565389036685
2025-11-30,-774.9094707412751,26.015762,-454.53937713165465
