date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-670.798190150854,33.9834,-388.8855541433078
2024-01-31,-554.9099961596625,30.31251,-320.8209938811002
2024-02-29,-456.2814015736034,27.495026,-262.77083030878606
2024-03-31,-495.3906290910139,28.450287,-285.8542628992495
2024-04-30,-512.4305258254814,28.633377,-296.0049644744758
2024-05-31,-484.2989443224981,29.032232,-278.9664734889456
2024-06-30,-505.99002075480036,29.059155,-291.9703504579461
2024-07-31,-498.85400737719294,29.10081,-287.67208078739975
2024-08-31,-514.1096692286708,29.079123,-296.8341525198685
2024-09-30,-468.0402866201634,29.077679,-269.1930999277255
2024-10-31,-475.1480516338387,29.071024,-273.46042159462206
2024-11-30,-440.8918821272992,29.071308,-252.9066054497804
2024-12-31,-1063.6282730607154,29.070633,-626.5487108533359
2025-01-31,-1038.9922181643553,29.071098,-611.766890995354
2025-02-28,-943.480162955409,29.071083,-554.4596645457063
2025-03-31,-1013.4228796484771,29.071198,-596.42524878518
2025-04-30,-1050.8665568250046,29.071178,-618.8914627204911
2025-05-31,-987.5680971304373,29.07119,-580.9123821353791
2025-06-30,-1033.2468767071402,29.07118,-608.319653696098
2025-07-31,-1022.7950272171928,29.071182,-602.0485430484553
2025-08-31,-1051.8161839236977,29.07118,-619.4612380260326
2025-09-30,-969.6642260454555,29.071182,-570.1700623454129
2025-10-31,-987.322340340352,29.071182,-580.7649309223508
2025-11-30,-935.7339498364558,29.071182,-549.8118966200132
