date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-496.1499500840164,31.285694,-285.1756925922189
2024-01-31,205.77280486530532,30.44178,135.640394955316
2024-02-29,-278.0355508986337,34.72844,-152.92995499749318
2024-03-31,-160.81590760171218,41.116776,-80.04283397447945
2024-04-30,-382.1880003363327,39.20912,-213.62915113868928
2024-05-31,-148.8766988639361,36.472683,-74.73694613720932
2024-06-30,-281.44767944703244,35.302216,-154.7477208655461
2024-07-31,-193.70692868112747,36.927788,-101.45304190563692
2024-08-31,-371.1883915412792,37.914368,-207.54728728225044
2024-09-30,-150.28463528010315,37.691082,-75.09434798629918
2024-10-31,-356.7203517195733,36.894836,-199.27427646143147
2024-11-30,-122.2062524529866,36.756126,-58.621300719533664
2024-12-31,-567.9490243456441,37.079884,-325.9374606050061
2025-01-31,-274.1162656760331,37.3363,-149.5352396378586
2025-02-28,-646.39985966288,37.248978,-372.94032435180515
2025-03-31,-361.5330574513516,37.08102,-202.087426519456
2025-04-30,-789.9733797515642,37.046425,-459.1654577139145
2025-05-31,-335.5550539337527,37.129448,-186.48125337618177
2025-06-30,-616.9531044406882,37.182487,-355.298867287826
2025-07-31,-420.77460554160365,37.161953,-237.59998194526247
2025-08-31,-772.1468276920733,37.122128,-448.4392454113255
2025-09-30,-338.0483129374053,37.11654,-187.98237197112238
2025-10-31,-761.0626149545889,37.135715,-441.78328277890563
2025-11-30,-296.1339739760418,37.147648,-162.82132505182378
