date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,102.17940879221402,136.68886,115.98319001409794
2024-01-31,-220.3271045454934,113.091194,-86.95978582910269
2024-02-29,-145.68250500000903,79.889496,-55.45370389722221
2024-03-31,-222.582378453296,63.899876,-107.98947719709966
2024-04-30,-192.17627629090893,61.993782,-90.50825181275336
2024-05-31,-300.9343496319733,77.29812,-149.64136119825136
2024-06-30,-298.3735583171233,94.8828,-141.07101380497124
2024-07-31,-241.2063248690353,108.94113,-101.14734075882353
2024-08-31,-264.97351063811675,112.752815,-113.88297875835832
2024-09-30,-199.16184060818472,107.37813,-76.54585238126825
2024-10-31,-166.7946744427655,97.35159,-61.1361651698097
2024-11-30,-272.83497716411796,87.98077,-128.5086797799161
2024-12-31,-376.1332457532465,83.07576,-192.44964273393032
2025-01-31,-526.3501622120928,84.05861,-282.18665372374
2025-02-28,-445.23219490546,89.18258,-231.46628609000453
2025-03-31,-563.549038549999,95.28295,-300.01624106212824
2025-04-30,-461.83471143709306,99.42736,-237.32988035957027
2025-05-31,-663.3662021342625,100.22144,-357.93114401004965
2025-06-30,-641.2153283158916,97.99288,-345.53204199075566
2025-07-31,-529.3808108290492,94.36065,-279.88422761681426
2025-08-31,-589.696605280535,91.20392,-317.3363957855085
2025-09-30,-487.32567201721247,89.868355,-256.44806129138215
2025-10-31,-450.36752602175625,90.568016,-233.99330842921586
2025-11-30,-697.4807775033333,92.54379,-381.47094941215624
