date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-660.0988930561028,78.41359,-364.6938992797066
2024-01-31,-146.08166902640426,77.02581,-56.83867770063259
2024-02-29,-511.01837999608586,73.44859,-277.23158959738294
2024-03-31,-332.6246755798443,71.54069,-170.95852956055305
2024-04-30,-504.23453430389577,71.08543,-274.1065489057017
2024-05-31,-482.6412795260487,70.85939,-261.2410119935833
2024-06-30,-475.74666003439336,70.77999,-257.1359995606751
2024-07-31,-496.46997639071907,70.75295,-269.5808040412185
2024-08-31,-415.4839364418374,70.742546,-220.99334381395497
2024-09-30,-484.7364796579884,70.73885,-262.54634603148736
2024-10-31,-357.2402138417584,70.73752,-186.04912059936657
2024-11-30,-436.54524044991336,70.73703,-233.6323311138201
2024-12-31,-1038.795675288632,70.736855,-594.9826625889507
2025-01-31,-845.0072882082691,70.73678,-478.70966085831105
2025-02-28,-1083.3139149212784,70.73676,-621.6936426081626
2025-03-31,-737.5332383103505,70.736755,-414.2252404563031
2025-04-30,-1070.308109428001,70.736755,-613.8901631268933
2025-05-31,-1034.8924933344438,70.736755,-592.640793470759
2025-06-30,-977.7821544465204,70.736755,-558.374590138005
2025-07-31,-1029.8873178671988,70.736755,-589.6376881904121
2025-08-31,-858.9753537808607,70.736755,-487.09050973860917
2025-09-30,-1032.1234114369026,70.736755,-590.9793443322343
2025-10-31,-840.9245404338194,70.736755,-476.2600217303844
2025-11-30,-976.945751196422,70.736755,-557.872748187946
