date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-243.3604928063372,21.748726,-137.31680513662212
2024-01-31,-61.721898995292875,21.840652,-28.296878029377872
2024-02-29,-134.14452399138165,21.853567,-71.74528697325916
2024-03-31,-147.54780205830644,21.983929,-79.7351097628159
2024-04-30,-161.0530734308454,22.010899,-87.82748462247207
2024-05-31,-139.60615262357706,22.030499,-74.9514919815559
2024-06-30,-131.15238018190442,22.048977,-69.87183754060017
2024-07-31,-152.339149230295,22.056225,-82.58099979971264
2024-08-31,-143.23209657644256,22.061201,-77.11477693542852
2024-09-30,-150.63863052410312,22.064493,-81.55738123346822
2024-10-31,-138.36222866091077,22.066198,-74.19085728474226
2024-11-30,-151.45576266630871,22.067284,-82.04654376616706
2024-12-31,-354.7081250584846,22.067942,-203.99769798736125
2025-01-31,-283.04727641445766,22.06832,-161.0010381204031
2025-02-28,-294.6092153205756,22.06855,-167.93810895766515
2025-03-31,-318.5162131183601,22.068687,-182.28225232322552
2025-04-30,-347.01620901998325,22.06877,-199.38221743927267
2025-05-31,-305.77938898030305,22.068817,-174.64010634197822
2025-06-30,-285.3351010458681,22.068848,-162.37352118355113
2025-07-31,-326.8187776552753,22.068865,-187.26372047347525
2025-08-31,-308.47260982705643,22.068874,-176.25601596184666
2025-09-30,-322.24913635662244,22.068882,-184.5219290185633
2025-10-31,-298.80573005856814,22.068884,-170.4558842860564
2025-11-30,-323.203231251341,22.068886,-185.09438404804578
