date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-163.6085192887361,31.266909,-85.65834811498969
2024-01-31,-108.20128407928587,31.214996,-52.43477134021067
2024-02-29,-113.84815577670186,31.124725,-55.85900332930237
2024-03-31,-100.95752551566525,30.756691,-48.27183910853245
2024-04-30,-143.83677126346657,30.725008,-74.01205898152965
2024-05-31,-80.3271052613887,30.70293,-35.91509040445285
2024-06-30,-152.51386706243284,30.689114,-79.23267498141722
2024-07-31,-100.21158888105629,30.686142,-47.85249635078953
2024-08-31,-149.43577080244023,30.684626,-77.38761204048514
2024-09-30,-103.05994101143452,30.683971,-49.5623754726444
2024-10-31,-129.05802509262446,30.683765,-65.1613088910239
2024-11-30,-91.55725515351955,30.683674,-42.66088316718497
2024-12-31,-281.3736982400899,30.68364,-156.5507633242419
2025-01-31,-258.0606025725127,30.683628,-142.56290973839288
2025-02-28,-269.9416907299666,30.683622,-149.69156549388813
2025-03-31,-236.5952751351716,30.683619,-129.68371709068546
2025-04-30,-320.0951154646499,30.683619,-179.78362128837244
2025-05-31,-192.5343308783256,30.683619,-103.24715053657786
2025-06-30,-332.239206283313,30.683619,-187.07007577957032
2025-07-31,-228.50901223840123,30.683619,-124.83195935262324
2025-08-31,-328.84840707857535,30.683619,-185.03559625672773
2025-09-30,-233.87359659244015,30.683619,-128.0507099650466
2025-10-31,-290.06108818717246,30.683619,-161.763204921886
2025-11-30,-223.2410011381042,30.683619,-121.67115269244502
