date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-215.4929718607342,21.328428,-120.76441199980232
2024-01-31,-213.2014311129193,21.584492,-119.28706197585704
2024-02-29,-209.11473630405166,22.095636,-116.63058685384212
2024-03-31,-187.9873957556131,22.980074,-103.60040750036494
2024-04-30,-215.85264725493766,23.28384,-120.19805170898067
2024-05-31,-180.9693530010593,23.574934,-99.15163819834065
2024-06-30,-213.84097682832012,23.818563,-118.77716033100086
2024-07-31,-191.37826936169813,23.96565,-105.24070082142562
2024-08-31,-204.3663314886366,24.08303,-112.98658680364338
2024-09-30,-210.01314470519677,24.17025,-116.33978646606239
2024-10-31,-212.71737222896706,24.231571,-117.9377944769066
2024-11-30,-201.4923420101025,24.27771,-111.18432084021677
2024-12-31,-439.008223020649,24.311531,-253.68032157636645
2025-01-31,-437.2739473840247,24.336166,-252.62990187768042
2025-02-28,-443.0720706841726,24.354385,-256.1014878786432
2025-03-31,-404.0148096812966,24.367752,-232.6617849786998
2025-04-30,-457.6417558442266,24.377562,-264.83402830664585
2025-05-31,-391.97302694214954,24.384785,-225.4299022858952
2025-06-30,-457.7330750821328,24.390089,-264.88380924453116
2025-07-31,-409.63827483863463,24.39399,-236.02536888725058
2025-08-31,-433.8603776648199,24.396858,-250.55748331275913
2025-09-30,-441.03166811621776,24.398964,-254.85941548917646
2025-10-31,-444.2648520117592,24.400515,-256.79870498452135
2025-11-30,-419.01349238985745,24.401653,-241.64743430873136
