date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-280.34221287356,55.021988,-146.1965329395901
2024-01-31,-425.4347339901011,57.8426,-232.12379930214172
2024-02-29,-160.61725380905634,60.0846,-72.33651210599044
2024-03-31,-226.48018768694254,61.49749,-111.28911549607665
2024-04-30,-175.05160700158626,61.992767,-80.23385650441855
2024-05-31,-223.81826743779789,62.258705,-109.38747802554494
2024-06-30,-187.52386067303888,62.38692,-87.55954726930185
2024-07-31,-153.75822830300658,62.444454,-67.27715568602757
2024-08-31,-168.93514724778186,62.47253,-76.37207658414275
2024-09-30,-204.48004007397765,62.485764,-97.69371748005553
2024-10-31,-170.33467421022962,62.491974,-77.2040145938868
2024-11-30,-282.3851363902775,62.494934,-144.43310743841457
2024-12-31,-500.6446586157956,62.496326,-275.3882638279246
2025-01-31,-571.801988948634,62.49699,-318.0823969061677
2025-02-28,-346.95746601419364,62.497307,-183.17555726049372
2025-03-31,-501.50230699768287,62.49745,-275.90240272277964
2025-04-30,-390.1347748933375,62.497524,-209.08185484994294
2025-05-31,-534.6619282595349,62.497555,-295.79813542556957
2025-06-30,-473.0846031615258,62.49757,-258.85173273736956
2025-07-31,-395.49862839533193,62.497574,-212.30014787765325
2025-08-31,-410.53813090493287,62.497578,-221.32384747606517
2025-09-30,-454.7511483798313,62.49758,-247.85165605365563
2025-10-31,-373.8124252125929,62.49758,-199.28842215331258
2025-11-30,-596.8769016546973,62.49758,-333.12710801857526
