date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-154.62182255335003,8.479597,-89.3812547430238
2024-01-31,-188.8264485882926,8.600187,-109.85579423232126
2024-02-29,-131.12078777498675,8.51198,-75.26768059460325
2024-03-31,-92.15898821042309,8.524719,-51.88550513557392
2024-04-30,-132.5397541993179,8.526973,-76.11306326826323
2024-05-31,-153.64955606157312,8.525018,-88.77972639855581
2024-06-30,-131.54741397458176,8.52535,-75.518308585631
2024-07-31,-62.41203710434523,8.525389,-34.03706672786287
2024-08-31,-111.68595373758797,8.525346,-63.601433873946206
2024-09-30,-150.88735672843018,8.525354,-87.12227233059143
2024-10-31,-136.30570015346632,8.525355,-78.37327790877596
2024-11-30,-81.7554360061894,8.525353,-45.64312013566554
2024-12-31,-261.1789314705536,8.525354,-153.29721717586548
2025-01-31,-277.0695755261557,8.525354,-162.83160360922673
2025-02-28,-264.66083104925747,8.525354,-155.3863569230878
2025-03-31,-187.40370835540946,8.525354,-109.032083306779
2025-04-30,-268.868922149166,8.525354,-157.91121158303292
2025-05-31,-309.28143729460885,8.525354,-182.15872067029864
2025-06-30,-266.1903097923912,8.525354,-156.30404416896803
2025-07-31,-155.58672395635637,8.525354,-89.94189266734715
2025-08-31,-228.2082444728564,8.525354,-133.51480497724717
2025-09-30,-307.16145625668514,8.525354,-180.8867320475444
2025-10-31,-283.8432209588148,8.525354,-166.89579086882222
2025-11-30,-171.37309571691227,8.525354,-99.41371572368068
