date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-227.31374943894454,36.449677,-121.80837848569337
2024-01-31,-36.763994749991035,36.430573,-7.486167464618642
2024-02-29,-88.21315708852096,36.3853,-38.37377418933084
2024-03-31,-126.47836989930515,36.186813,-61.41229621631649
2024-04-30,-182.8909151771229,36.136513,-95.27994400373468
2024-05-31,-153.5756870400616,36.095474,-77.7072227175062
2024-06-30,-203.44884401861518,36.06417,-107.64363769473843
2024-07-31,-210.044878921878,36.04795,-111.60774648307064
2024-08-31,-220.59519792940088,36.03701,-117.94231429902237
2024-09-30,-170.75148218061435,36.030003,-88.03888769856636
2024-10-31,-228.56389233485984,36.025745,-122.72803705344276
2024-11-30,-180.8621561522375,36.023026,-94.10808348626438
2024-12-31,-384.8101379930864,36.021313,-216.4775573289329
2025-01-31,-318.2400708582909,36.02024,-176.53594620149798
2025-02-28,-308.26697390589294,36.019566,-170.55235791989074
2025-03-31,-372.5509511970407,36.019142,-209.12291404860773
2025-04-30,-446.75548124768255,36.018875,-253.64573889051627
2025-05-31,-364.5599286410842,36.018707,-204.3284740837594
2025-06-30,-442.5332122656142,36.0186,-251.11248717382165
2025-07-31,-449.2419866061269,36.018536,-255.1377775273358
2025-08-31,-469.84705487143145,36.018494,-267.50083565265624
2025-09-30,-376.71745086776093,36.018467,-211.6230837408714
2025-10-31,-492.3797291286425,36.018448,-281.0204583267949
2025-11-30,-400.79211406848805,36.01844,-226.06789215172515
