date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-64.24641509073214,35.00373,-24.546356554134107
2024-01-31,-145.11615566538683,41.113377,-70.62434275225944
2024-02-29,-171.95404799863832,46.221775,-84.6837183957406
2024-03-31,-165.992601148017,49.928673,-79.6240908096598
2024-04-30,-97.06239867427257,51.78699,-37.52264313827936
2024-05-31,-28.1403507555774,52.97025,4.303890361472895
2024-06-30,-91.32034389647494,53.708923,-33.30863623900801
2024-07-31,-76.84789705753212,54.142815,-24.45161276149681
2024-08-31,-71.27447296373691,54.40442,-21.00291543717769
2024-09-30,-183.54955447643272,54.56273,-88.3046403701858
2024-10-31,-161.64921024430606,54.657513,-75.12652146213539
2024-11-30,-92.34747631304506,54.714558,-33.52266158433583
2024-12-31,-263.95777870474694,54.748924,-136.47509675776027
2025-01-31,-298.31682196849107,54.769585,-157.08225817438077
2025-02-28,-354.1821081069967,54.78201,-190.59646121429566
2025-03-31,-340.51788112096835,54.789497,-182.39492857797651
2025-04-30,-269.669795819174,54.79399,-139.8842806744878
2025-05-31,-111.97472700721067,54.796703,-45.26615410593773
2025-06-30,-257.63233848050965,54.798332,-132.66007058403332
2025-07-31,-227.30617183855088,54.799313,-114.46397768503971
2025-08-31,-238.28651113205467,54.799896,-121.05194856460878
2025-09-30,-376.7595830340005,54.800255,-204.1356467472802
2025-10-31,-329.7862153363947,54.800472,-175.95154029802822
2025-11-30,-192.2100349257349,54.800602,-93.40578055321926
