date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-579.4561233870638,63.22491,-322.383709356335
2024-01-31,-318.7386892945669,61.178017,-166.77200691170106
2024-02-29,-473.3742896242944,58.975624,-260.43432375931786
2024-03-31,-574.6741709487611,56.489193,-322.2088242397889
2024-04-30,-513.5271600728948,56.005787,-285.7139809039664
2024-05-31,-500.68942481380145,55.7095,-278.1298547631588
2024-06-30,-464.2310032399839,55.555584,-256.3163672180382
2024-07-31,-532.3242414511908,55.49766,-297.1954806159537
2024-08-31,-524.2670962980678,55.467964,-292.3730724913651
2024-09-30,-449.7362381957063,55.45409,-247.660106107121
2024-10-31,-460.2191477636701,55.448036,-253.95227418066298
2024-11-30,-374.10689346903,55.445145,-202.2860774571504
2024-12-31,-1009.4333304918663,55.44381,-583.4824737284694
2025-01-31,-918.6241267193886,55.443203,-528.9971936982591
2025-02-28,-972.5233628507463,55.44292,-561.3368498179917
2025-03-31,-1166.2637145084716,55.44279,-677.58111231104
2025-04-30,-1032.378233729367,55.44273,-597.2498486391094
2025-05-31,-1007.6081631386354,55.442703,-582.3878158214136
2025-06-30,-947.182240703488,55.44269,-546.1322680823711
2025-07-31,-1102.6846264298351,55.442684,-639.433701425528
2025-08-31,-1081.74074605204,55.44268,-626.8673751061996
2025-09-30,-941.0505037815446,55.44268,-542.4532297439024
2025-10-31,-997.5741684074624,55.44268,-576.367428519453
2025-11-30,-881.6347701503486,55.44268,-506.80378956518473
