date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-348.4067085686637,80.39478,-176.8861119331904
2024-01-31,-619.679063695449,80.27958,-339.69560655223034
2024-02-29,-293.60067118595407,81.61006,-143.51637881630876
2024-03-31,-293.11811218992756,83.87482,-142.32094055614402
2024-04-30,-311.64358059254664,84.27306,-153.27692365460024
2024-05-31,-291.68533160578085,84.62434,-141.16146370345874
2024-06-30,-115.57862686651922,84.87055,-35.39895300589785
2024-07-31,-289.9088312692955,84.963135,-139.96004256650892
2024-08-31,-354.24225615376974,85.02323,-178.53606108972278
2024-09-30,-291.86051288929616,85.05735,-141.09336614422222
2024-10-31,-256.1271918038987,85.07398,-119.6467206609525
2024-11-30,-282.04405538926716,85.083626,-135.19298215323803
2024-12-31,-715.796970269859,85.088875,-395.44263299809705
2025-01-31,-811.8681993854269,85.091644,-453.0842603905335
2025-02-28,-624.553291679819,85.093185,-340.694701600909
2025-03-31,-652.2107666321492,85.094025,-357.2888508789477
2025-04-30,-715.7891035241834,85.09447,-395.43567372339675
2025-05-31,-694.1326922412558,85.09472,-382.44172777151124
2025-06-30,-367.40504459153266,85.09485,-186.4050857759157
2025-07-31,-678.4187221761712,85.094925,-373.01326180912065
2025-08-31,-793.8789482023735,85.09496,-442.289382166053
2025-09-30,-682.9235062154492,85.094986,-375.7161093445039
2025-10-31,-579.0716083797971,85.09499,-313.40496682841535
2025-11-30,-613.8642703354194,85.095,-334.28056018709145
