date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-118.19873068422912,42.33773,-53.984145484512084
2024-01-31,-290.53944257946176,42.505066,-157.32163803608037
2024-02-29,-123.86518113707359,42.24719,-57.4202324920586
2024-03-31,-127.0311135556146,41.83985,-59.48272720014121
2024-04-30,-173.5779591991004,41.764572,-87.4409458990989
2024-05-31,-177.62265180224216,41.695026,-89.89558014079354
2024-06-30,-209.30636068832808,41.650707,-108.92353237063844
2024-07-31,-228.95829554616952,41.632412,-120.72201178204742
2024-08-31,-198.45429035005952,41.620785,-102.42426068769684
2024-09-30,-203.3103727946921,41.61439,-105.34046600164436
2024-10-31,-165.62903101497886,41.61111,-82.73297318967579
2024-11-30,-187.8533084903567,41.609238,-96.0682892629152
2024-12-31,-354.6527033973727,41.608223,-196.14833247238357
2025-01-31,-429.14830648855514,41.607677,-240.84591176483718
2025-02-28,-356.2571044549307,41.607372,-197.11131261497502
2025-03-31,-342.99046710672235,41.60721,-189.15139696325215
2025-04-30,-402.33086082055587,41.607117,-224.75566943117627
2025-05-31,-406.1629348434177,41.607067,-227.0549329183797
2025-06-30,-458.32401572033694,41.60704,-258.35159288862303
2025-07-31,-490.03658167938283,41.60703,-277.37913627874786
2025-08-31,-426.39038618213306,41.60702,-239.19142279509526
2025-09-30,-442.19469352439916,41.607014,-248.6740110151522
2025-10-31,-374.2580543402337,41.607014,-207.9120275046529
2025-11-30,-424.31426608094716,41.607014,-237.945754549081
