date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-12.569586777314896,24.208672,2.141716752275613
2024-01-31,-175.48331165236226,24.614594,-95.44414939833874
2024-02-29,-116.14067019261418,25.166466,-59.6178156211227
2024-03-31,-162.56621772978298,25.201956,-87.45894774754996
2024-04-30,-115.55008128711906,25.333958,-59.19646570342377
2024-05-31,-163.31775073358602,25.429264,-87.81894424050562
2024-06-30,-98.52269812470644,25.46806,-48.9263944867013
2024-07-31,-118.39317166188775,25.50581,-60.83357908355843
2024-08-31,-131.71465154328644,25.530266,-68.81668422125995
2024-09-30,-180.91605567861018,25.5449,-98.33167304950008
2024-10-31,-134.23553309386654,25.555893,-70.31896210638095
2024-11-30,-137.50745563759688,25.563084,-72.27923935088087
2024-12-31,-249.38567452890817,25.56781,-139.40428050317254
2025-01-31,-308.80718578043854,25.571098,-175.05587213720844
2025-02-28,-262.7150085715173,25.573284,-147.39969129250753
2025-03-31,-356.2258488671762,25.574757,-203.50560609917534
2025-04-30,-262.9062292468526,25.575754,-147.51343569111694
2025-05-31,-351.1719665354743,25.576424,-200.47261008180706
2025-06-30,-228.58486840901554,25.576876,-126.92017096148598
2025-07-31,-265.31076766804193,25.577179,-148.9555884465893
2025-08-31,-291.329150061093,25.577385,-164.56653586642875
2025-09-30,-382.7765490685969,25.577522,-219.43491995782074
2025-10-31,-287.8331141575223,25.577618,-162.4688208642033
2025-11-30,-299.6228227521733,25.577679,-169.542622179136
