date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,570.6200814885341,20.534515,350.5858550454642
2024-01-31,27.357864906079826,20.223051,24.50393994431928
2024-02-29,-262.95520547418624,20.972046,-149.384304543667
2024-03-31,-318.25410198527743,21.166782,-182.4857482395063
2024-04-30,-329.8653058179047,21.203377,-189.43783259200015
2024-05-31,-64.44810302073678,21.25618,-30.166389888613942
2024-06-30,-384.41533874213434,21.272055,-222.14038080417953
2024-07-31,-237.73904454358075,21.278107,-134.13218385963233
2024-08-31,-429.71021535319505,21.282228,-249.31323744250784
2024-09-30,-144.75267599491707,21.283691,-78.3381292251851
2024-10-31,-421.01672939766513,21.284348,-244.0962980527226
2024-11-30,-329.36758717615237,21.284693,-189.10667539071338
2024-12-31,-169.49241553073708,21.284832,-93.18151613667955
2025-01-31,-368.72122485858023,21.284897,-212.7187759841789
2025-02-28,-653.5309276750709,21.284927,-383.60458527630715
2025-03-31,-718.2178507485263,21.28494,-422.41673435200886
2025-04-30,-679.0468260188778,21.284946,-398.9141166531968
2025-05-31,-131.40555671318782,21.28495,-70.32935411610849
2025-06-30,-826.3204022258967,21.28495,-487.2782614237338
2025-07-31,-507.9692792430606,21.284952,-296.26758668035785
2025-08-31,-882.931281358564,21.284952,-521.2447879496599
2025-09-30,-318.24911775185024,21.284952,-182.43548978563163
2025-10-31,-843.1168458736228,21.284952,-497.35612665869513
2025-11-30,-672.5909040840468,21.284952,-395.04056158494956
